INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1993-036NN,34316,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.07,74.08,726,703,,,0,SMALL,7337,1993,36,NN,Y,COSMOS 2251 DEB,1993-036NN,34316
2019-038AE,44414,PAYLOAD,SOCRAT,CIS,2019-07-05,VOSTO,,95.23,97.54,547,512,,,0,MEDIUM,7345,2019,38,AE,Y,SOCRAT,2019-038AE,44414
1993-036NE,34308,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.92,74.00,692,626,,,0,SMALL,7337,1993,36,NE,Y,COSMOS 2251 DEB,1993-036NE,34308
1993-036ND,34307,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,106.65,74.06,1373,770,,,0,SMALL,7337,1993,36,ND,Y,COSMOS 2251 DEB,1993-036ND,34307
1993-036MZ,34303,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.41,74.02,909,647,,,0,SMALL,7337,1993,36,MZ,Y,COSMOS 2251 DEB,1993-036MZ,34303
2019-038AC,44412,PAYLOAD,BEESAT 9,GER,2019-07-05,VOSTO,,95.22,97.54,546,512,,,0,SMALL,7345,2019,38,AC,Y,BEESAT 9,2019-038AC,44412
1993-036MW,34300,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.47,74.02,834,633,,,0,SMALL,7337,1993,36,MW,Y,COSMOS 2251 DEB,1993-036MW,34300
1993-036MT,34297,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.36,74.05,789,763,,,0,SMALL,7337,1993,36,MT,Y,COSMOS 2251 DEB,1993-036MT,34297
1993-036MR,34295,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.21,74.02,730,616,,,0,SMALL,7337,1993,36,MR,Y,COSMOS 2251 DEB,1993-036MR,34295
1993-036MP,34293,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,96.11,73.97,622,523,,,0,SMALL,7337,1993,36,MP,Y,COSMOS 2251 DEB,1993-036MP,34293
